"Date","Ethereum - Difficulty","Ethereum Classic - Difficulty"
"2016/06/20",51170755663800,51170755663800
"2016/06/21",49998634763390,49998634763390
"2016/06/22",51003976141944,51003976141944
"2016/06/23",53456647788164,53456647788164
"2016/06/24",52791881070021,52791881070021
"2016/06/25",53445634197051,53445634197051
"2016/06/26",53892495389683,53892495389683
"2016/06/27",55306308815143,55306308815143
"2016/06/28",55833352404452,55833352404452
"2016/06/29",54938285777453,54938285777453
"2016/06/30",54998811559619,54998811559619
"2016/07/01",55250198968443,55250198968443
"2016/07/02",56611950439754,56611950439754
"2016/07/03",57748654813312,57748654813312
"2016/07/04",57434077769050,57434077769050
"2016/07/05",58422132175057,58422132175057
"2016/07/06",57054356483459,57054356483459
"2016/07/07",57701438555504,57701438555504
"2016/07/08",57863292797925,57863292797925
"2016/07/09",56397382202774,56397382202774
"2016/07/10",58464106349394,58464106349394
"2016/07/11",59261327451818,59261327451818
"2016/07/12",59736577470535,59736577470535
"2016/07/13",59851040240448,59851040240448
"2016/07/14",59835050330498,59835050330498
"2016/07/15",58712475117659,58712475117659
"2016/07/16",58591318439182,58591318439182
"2016/07/17",59611231131587,59611231131587
"2016/07/18",59773542463192,59773542463192
"2016/07/19",60392956399108,60392956399108
"2016/07/20",58929113774391,58600138717779
"2016/07/21",59762632002726,1271276149755
"2016/07/22",59595509484017,486280368121
"2016/07/23",60796529061177,371670738331
"2016/07/24",60911953245187,1425783515388
"2016/07/25",58041221653187,3263196676829
"2016/07/26",57484752193098,4324493258208
"2016/07/27",51386968380958,8546119161600
"2016/07/28",55687364932491,6348055800443
"2016/07/29",55145824712935,6958494684836
"2016/07/30",54679107435443,7515459638362
"2016/07/31",54482543366798,7077624582790
"2016/08/01",54442484651247,8791084043093
"2016/08/02",50796904183649,12112839968576
"2016/08/03",48632916886891,14985928285930
"2016/08/04",51089912313125,12646706833675
"2016/08/05",53305074165704,10730709614845
"2016/08/06",53004484865260,11498007390484
"2016/08/07",53577776788041,11254398772719
"2016/08/08",54810196442943,10675130619812
"2016/08/09",56754741398786,9803539624018
"2016/08/10",58859667311533,8442882393547
"2016/08/11",60119489659431,8574225531431
"2016/08/12",60031378269376,9578613766128
"2016/08/13",59674470740231,9358607282351
"2016/08/14",59899407846695,9731625473724
"2016/08/15",59513861569381,9992171971670
"2016/08/16",61567314128600,9887548096296
"2016/08/17",61462888119907,9903526417767
"2016/08/18",61110173225302,9511958444906
"2016/08/19",62459105280758,9254018100719
"2016/08/20",63447188528481,9257509249784
"2016/08/21",63102927461073,9700886561267
"2016/08/22",64445867907625,9651793665506
"2016/08/23",65758103112503,9530993742144
"2016/08/24",65492730197364,9090477813436
"2016/08/25",67337962999723,8356245484591
"2016/08/26",70034672663922,8514138490262
"2016/08/27",69019820278748,8797645841081
"2016/08/28",68797829802067,8512523097857
"2016/08/29",68147882283450,8167245858013
"2016/08/30",68219697735023,7866997967362
"2016/08/31",69058725654724,7464567417306
"2016/09/01",70595857020692,7301149323559
"2016/09/02",70130151569579,8061582925674
"2016/09/03",68510100107468,7811812584852
"2016/09/04",65871410022757,7652316845927
"2016/09/05",67661361367207,8395143726673
"2016/09/06",68158019829501,8555510956167
"2016/09/07",68604908925659,8567207211214
"2016/09/08",68487010668140,8675760317115
"2016/09/09",68267961806404,8389932264277
"2016/09/10",69729338832157,8431771746866
"2016/09/11",71177645474007,8256349614227
"2016/09/12",71225398356075,7951264857690
"2016/09/13",71654132181855,7753583696369
"2016/09/14",72546107767733,7709867117090
"2016/09/15",73116164184274,7812106215420
"2016/09/16",72645356475325,7732909005125
"2016/09/17",75420715213751,7780659581944
"2016/09/18",72224104055816,7861205473600
"2016/09/19",62900571466767,8191008758422
"2016/09/20",74757688262877,6985584791958
"2016/09/21",77929117021432,6969410930999
"2016/09/22",71323356954973,7362614458963
"2016/09/23",72669784730826,7938198025855
"2016/09/24",74210960201205,7445798311125
"2016/09/25",75467953969813,7230418408954
"2016/09/26",75443249396427,7719376446654
"2016/09/27",71521862268249,7304439855584
"2016/09/28",81378594783267,7528811173636
"2016/09/29",83711044710375,7820342960550
"2016/09/30",83323439950598,7840113125009
"2016/10/01",76304363076684,7598699277680
"2016/10/02",76005234648819,7482834650774
"2016/10/03",81560785541695,7371775737439
"2016/10/04",86513687351611,7598208532834
"2016/10/05",80800228891788,7495626770883
"2016/10/06",83821398443637,8065631679345
"2016/10/07",69907877300574,8024137802028
"2016/10/08",76211065299684,7580426557017
"2016/10/09",84950653919291,8190254202308
"2016/10/10",86426737611393,8498460924927
"2016/10/11",89686038468289,8554799004926
"2016/10/12",84156427637320,7025763323806
"2016/10/13",82197610286997,6753482660151
"2016/10/14",91991159868762,7390660647272
"2016/10/15",95454493863866,7673459640085
"2016/10/16",95167930108961,7904351562636
"2016/10/17",92157415719447,8479683075374
"2016/10/18",92931573004157,7781914405072
"2016/10/19",92357987224808,7496605702575
"2016/10/20",92824518156324,7944111307651
"2016/10/21",1.0215571832721E+14,8724354754348
"2016/10/22",1.0379360774949E+14,8911873004942
"2016/10/23",1.0234054572111E+14,8912174130658
"2016/10/24",1.0169123993939E+14,8715545505829
"2016/10/25",1.0466884192695E+14,9106620031880
"2016/10/26",1.0478360972777E+14,9277459882137
"2016/10/27",1.0465882547537E+14,9247565800052
"2016/10/28",1.0173527114764E+14,8680263374199
"2016/10/29",85036314589228,7326146129489
"2016/10/30",76369898449176,6394210719524
"2016/10/31",81664327622896,6614155160212
"2016/11/01",73350829771605,5766628015411
"2016/11/02",64719068491400,5055977157656
"2016/11/03",61514730699690,4553514865698
"2016/11/04",57159503514602,4325789736081
"2016/11/05",53005065702772,4538305214127
"2016/11/06",51646857812065,4654622429352
"2016/11/07",58599219756578,5228550213351
"2016/11/08",67264445718750,5825534650864
"2016/11/09",68500747666720,5847841816666
"2016/11/10",62531737964001,5340927399504
"2016/11/11",60581959748739,5307620057535
"2016/11/12",60465042409040,5429869903099
"2016/11/13",64651085122085,5729016622753
"2016/11/14",68109469050598,5901012950721
"2016/11/15",69609625808758,6025196425906
"2016/11/16",67942982634482,6175049176421
"2016/11/17",66530412520219,6511600831226
"2016/11/18",66438055411680,6470498378353
