timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2022-07-12T00:00:00.000Z";"2022-07-12T23:59:59.999Z";"2022-07-12T15:34:00.000Z";"2022-07-12T23:59:00.000Z";"2781";33.4650288997;34.501242825;32.7575938104;32.7575938104;916386230.39;11320200696.56;345574853.94;"2022-07-12T23:59:59.999Z"
"2022-07-11T00:00:00.000Z";"2022-07-11T23:59:59.999Z";"2022-07-11T00:00:00.000Z";"2022-07-11T23:07:00.000Z";"2781";36.6931957456;36.6931957456;33.3373014212;33.4636024017;930216019.91;11559735103.83;345442040.73;"2022-07-11T23:59:59.999Z"
"2022-07-10T00:00:00.000Z";"2022-07-10T23:59:59.999Z";"2022-07-10T00:00:00.000Z";"2022-07-10T14:37:00.000Z";"2781";38.0710832197;38.0710832197;36.3867683315;36.697608771;714119421.4;12670817158.63;345276370.4;"2022-07-10T23:59:59.999Z"
"2022-07-09T00:00:00.000Z";"2022-07-09T23:59:59.999Z";"2022-07-09T18:46:00.000Z";"2022-07-09T14:04:00.000Z";"2781";38.292434124;38.7925337005;37.8700644819;38.0719592255;789899204.39;13144005205.28;345241103.23;"2022-07-09T23:59:59.999Z"
"2022-07-08T00:00:00.000Z";"2022-07-08T23:59:59.999Z";"2022-07-08T01:31:00.000Z";"2022-07-08T14:04:00.000Z";"2781";38.5174299196;39.3528387896;36.5562092779;38.2867206382;1485794729.62;13213057612.3;345108105.16;"2022-07-08T23:59:59.999Z"
"2022-07-07T00:00:00.000Z";"2022-07-07T23:59:59.999Z";"2022-07-07T19:50:00.000Z";"2022-07-07T07:22:00.000Z";"2781";37.0752671187;39.1194792491;36.4977133025;38.5183075993;1189167903.18;13242839648.99;343806373.5;"2022-07-07T23:59:59.999Z"
"2022-07-06T00:00:00.000Z";"2022-07-06T23:59:59.999Z";"2022-07-06T23:07:00.000Z";"2022-07-06T02:07:00.000Z";"2781";35.404721674;37.4762303192;34.8894865431;37.0735624288;1410588451.39;12726514304.75;343277351.06;"2022-07-06T23:59:59.999Z"
"2022-07-05T00:00:00.000Z";"2022-07-05T23:59:59.999Z";"2022-07-05T00:17:00.000Z";"2022-07-05T15:13:00.000Z";"2781";36.7612685547;36.8724910405;33.2667944474;35.395554521;1569156882.11;12145804296.82;343144907.92;"2022-07-05T23:59:59.999Z"
"2022-07-04T00:00:00.000Z";"2022-07-04T23:59:59.999Z";"2022-07-04T23:58:00.000Z";"2022-07-04T04:16:00.000Z";"2781";33.3852682335;36.8065085407;32.5207124231;36.785031524;1091202628.21;12633208223.93;343433393.98;"2022-07-04T23:59:59.999Z"
"2022-07-03T00:00:00.000Z";"2022-07-03T23:59:59.999Z";"2022-07-03T20:31:00.000Z";"2022-07-03T14:04:00.000Z";"2781";33.3562598354;33.5774979118;32.2190789891;33.385931659;605659824.86;11465283748.5;343416618.28;"2022-07-03T23:59:59.999Z"
